"NAME,TEAM,GP,MPG,PPG,FT%,3P%,APG,RPG,SPG,TO%"
"James Harden,Hou,61,36.7,34.4,0.861,0.352,7.4,6.3,1.74,13.7"
"James Harden,Hou,61,36.7,34.4,0.861,0.352,7.4,6.3,1.74,13.7"
"Bradley Beal,Was,57,36,30.6,0.843,0.353,6.1,4.2,1.26,11.5"
"Giannis Antetokounmpo,Mil,57,30.9,29.6,0.633,0.306,5.8,13.7,1.05,13.1"
"Trae Young,Atl,60,35.3,29.6,0.86,0.361,9.3,4.2,1.08,16.2"
"Damian Lillard,Por,58,36.9,28.9,0.888,0.394,7.8,4.3,1.02,11"
"Luka Doncic,Dal,54,33.3,28.7,0.752,0.318,8.7,9.3,1.06,14.7"
"Russell Westbrook,Hou,53,35.9,27.5,0.777,0.254,7,8.1,1.68,14.9"
"Kyrie Irving,Bro,20,32.9,27.4,0.922,0.394,6.4,5.2,1.35,10.1"
"Kawhi Leonard,Lac,51,32.2,26.9,0.889,0.366,5,7.3,1.8,10.7"
"Anthony Davis,Lal,55,34.3,26.7,0.845,0.335,3.1,9.4,1.49,10.1"
"Karl-Anthony Towns,Min,35,33.9,26.5,0.796,0.412,4.4,10.8,0.94,13.2"
"Devin Booker,Pho,62,36.1,26.1,0.916,0.36,6.6,4.1,0.71,15.7"
"LeBron James,Lal,60,34.9,25.7,0.697,0.349,10.6,7.9,1.23,15.3"
"Zach LaVine,Chi,60,34.8,25.5,0.802,0.38,4.2,4.8,1.45,13.3"
"Brandon Ingram,Nor,56,34.3,24.3,0.858,0.387,4.3,6.2,1,13.1"
"Donovan Mitchell,Uta,63,34.4,24.2,0.859,0.364,4.2,4.4,1.05,10.9"
"D'Angelo Russell,Gol,33,32.1,23.6,0.785,0.374,6.2,3.7,0.91,12.6"
"Pascal Siakam,Tor,53,35.5,23.6,0.8,0.359,3.6,7.5,1,10.5"
"Jayson Tatum,Bos,59,34.6,23.6,0.806,0.398,2.9,7.1,1.42,9.6"
"Zion Williamson,Nor,19,29.7,23.6,0.645,0.462,2.2,6.8,0.84,12.4"
"Joel Embiid,Phi,44,30.2,23.4,0.814,0.348,3.1,11.8,0.84,13.4"
"CJ McCollum,Por,62,36,22.5,0.75,0.38,4.3,4.1,0.74,8.3"
"Andrew Wiggins,Min,42,34.7,22.4,0.72,0.331,3.7,5.2,0.69,10.7"
"DeMar DeRozan,San,61,34.3,22.1,0.843,0.267,5.6,5.7,1.02,11.5"
"D'Angelo Russell,Min,12,32.6,21.7,0.873,0.345,6.6,4.6,1.42,16.7"
"John Collins,Atl,41,33.2,21.6,0.8,0.401,1.5,10.1,0.76,10.1"
"Kemba Walker,Bos,50,31.8,21.2,0.867,0.377,4.9,4.1,0.94,10.3"
"Khris Middleton,Mil,55,30.1,21.1,0.908,0.418,4.1,6.2,0.93,10.7"
"Paul George,Lac,42,29.1,21,0.882,0.399,3.9,5.7,1.33,13"
